 X  Y Z          g^2        k          sqrt_kgg    coef       t           zx          zy
 0  0 2.00000000 9.00000000 0.98185941 2.97266458 -0.31442305 4.37368606  2.75037541  2.75037541
 1  0 3.31278217 5.61684029 0.98322523 2.35002533 -0.39295548 6.18272510  2.90813746  4.85907145
 2  0 3.79977417 5.07127179 0.98361611 2.23342441 -0.41223728 6.84527540  2.75335040  5.64375537
 3  0 3.95343387 5.00555112 0.98366894 2.21896489 -0.41476107 7.08985784  3.21909155  5.88119407
 4  0 3.99218750 5.00024414 0.98367327 2.21779316 -0.41496694 7.15671412  4.04640312  5.93959954
 5  0 3.99921787 5.00000435 0.98367347 2.21774020 -0.41497625 7.16919767  5.00620501  5.95009354
 6  0 3.99996948 5.00000001 0.98367347 2.21773925 -0.41497642 7.17054289  6.00036323  5.95121243
 7  0 3.99999988 5.00000000 0.98367347 2.21773924 -0.41497642 7.17059738  7.00000284  5.95125765
 8  0 4.00000000 5.00000000 0.98367347 2.21773924 -0.41497642 7.17059759  8.00000000  5.95125783
 9  0 3.99999988 5.00000000 0.98367347 2.21773924 -0.41497642 7.17059738  8.99999716  5.95125765
10  0 3.99996948 5.00000001 0.98367347 2.21773925 -0.41497642 7.17054289  9.99963677  5.95121243
11  0 3.99921787 5.00000435 0.98367347 2.21774020 -0.41497625 7.16919767 10.99379499  5.95009354
12  0 3.99218750 5.00024414 0.98367327 2.21779316 -0.41496694 7.15671412 11.95359688  5.93959954
13  0 3.95343387 5.00555112 0.98366894 2.21896489 -0.41476107 7.08985784 12.78090845  5.88119407
14  0 3.79977417 5.07127179 0.98361611 2.23342441 -0.41223728 6.84527540 13.24664960  5.64375537
15  0 3.31278217 5.61684029 0.98322523 2.35002533 -0.39295548 6.18272510 13.09186254  4.85907145
 0  1 3.31278217 5.61684029 0.98322523 2.35002533 -0.39295548 6.18272510  4.85907145  2.90813746
 1  1 4.62556434 2.23368058 0.98872840 1.48610344 -0.60136006 6.21534184  3.93552625  3.93552625
 2  1 5.11255634 1.68811208 0.99168118 1.29385818 -0.68182738 6.19940864  3.12845316  4.31979347
 3  1 5.26621604 1.62239141 0.99217090 1.26873541 -0.69396217 6.29313394  3.32538153  4.42996067
 4  1 5.30496967 1.61708443 0.99221218 1.26668499 -0.69497166 6.33180628  4.06875665  4.45605846
 5  1 5.31200004 1.61684464 0.99221405 1.26659227 -0.69501738 6.33985149  5.00919017  4.46067739
 6  1 5.31275165 1.61684031 0.99221409 1.26659059 -0.69501821 6.34074228  6.00053796  4.46116776
 7  1 5.31278205 1.61684029 0.99221409 1.26659059 -0.69501821 6.34077854  7.00000420  4.46118757
 8  1 5.31278217 1.61684029 0.99221409 1.26659059 -0.69501821 6.34077868  8.00000000  4.46118764
 9  1 5.31278205 1.61684029 0.99221409 1.26659059 -0.69501821 6.34077854  8.99999580  4.46118757
10  1 5.31275165 1.61684031 0.99221409 1.26659059 -0.69501821 6.34074228  9.99946204  4.46116776
11  1 5.31200004 1.61684464 0.99221405 1.26659227 -0.69501738 6.33985149 10.99080983  4.46067739
12  1 5.30496967 1.61708443 0.99221218 1.26668499 -0.69497166 6.33180628 11.93124335  4.45605846
13  1 5.26621604 1.62239141 0.99217090 1.26873541 -0.69396217 6.29313394 12.67461847  4.42996067
