 X  Y Z          g^2        k          sqrt_kgg    coef       t           zx          zy
 0  0 2.00000000 9.00000000 0.99474030 2.99210005 -0.32390855 4.98962620  3.23236520  3.23236520
 1  0 3.31278217 5.61684029 0.99513631 2.36421693 -0.40722074 6.84255805  3.18844051  5.57286310
 2  0 3.79977417 5.07127179 0.99524964 2.24659329 -0.42783552 7.52790378  2.85982435  6.44140930
 3  0 3.95343387 5.00555112 0.99526496 2.23200574 -0.43053854 7.79060671  3.24990413  6.70831286
 4  0 3.99218750 5.00024414 0.99526621 2.23082363 -0.43075908 7.86355689  4.05292654  6.77459702
 5  0 3.99921787 5.00000435 0.99526627 2.23077020 -0.43076905 7.87725012  5.00707731  6.78655110
 6  0 3.99996948 5.00000001 0.99526627 2.23076923 -0.43076923 7.87872778  6.00041430  6.78782700
 7  0 3.99999988 5.00000000 0.99526627 2.23076923 -0.43076923 7.87878764  7.00000324  6.78787859
 8  0 4.00000000 5.00000000 0.99526627 2.23076923 -0.43076923 7.87878788  8.00000000  6.78787879
 9  0 3.99999988 5.00000000 0.99526627 2.23076923 -0.43076923 7.87878764  8.99999676  6.78787859
10  0 3.99996948 5.00000001 0.99526627 2.23076923 -0.43076923 7.87872778  9.99958570  6.78782700
11  0 3.99921787 5.00000435 0.99526627 2.23077020 -0.43076905 7.87725012 10.99292269  6.78655110
12  0 3.99218750 5.00024414 0.99526621 2.23082363 -0.43075908 7.86355689 11.94707346  6.77459702
13  0 3.95343387 5.00555112 0.99526496 2.23200574 -0.43053854 7.79060671 12.75009587  6.70831286
14  0 3.79977417 5.07127179 0.99524964 2.24659329 -0.42783552 7.52790378 13.14017565  6.44140930
15  0 3.31278217 5.61684029 0.99513631 2.36421693 -0.40722074 6.84255805 12.81155949  5.57286310
 0  1 3.31278217 5.61684029 0.99513631 2.36421693 -0.40722074 6.84255805  5.57286310  3.18844051
 1  1 4.62556434 2.23368058 0.99673190 1.49210613 -0.63356554 6.51039891  4.23955618  4.23955618
 2  1 5.11255634 1.68811208 0.99758803 1.29770583 -0.72316451 6.38999581  3.23366294  4.62930984
 3  1 5.26621604 1.62239141 0.99773002 1.27228480 -0.73678998 6.47183429  3.35527219  4.74504865
 4  1 5.30496967 1.61708443 0.99774199 1.27020984 -0.73792484 6.51038013  4.07506517  4.77315670
 5  1 5.31200004 1.61684464 0.99774254 1.27011601 -0.73797624 6.51859674  5.01003334  4.77818189
 6  1 5.31275165 1.61684031 0.99774255 1.27011431 -0.73797717 6.51951164  6.00058731  4.77871693
 7  1 5.31278205 1.61684029 0.99774255 1.27011431 -0.73797717 6.51954892  7.00000459  4.77873855
 8  1 5.31278217 1.61684029 0.99774255 1.27011431 -0.73797717 6.51954907  8.00000000  4.77873863
 9  1 5.31278205 1.61684029 0.99774255 1.27011431 -0.73797717 6.51954892  8.99999541  4.77873855
10  1 5.31275165 1.61684031 0.99774255 1.27011431 -0.73797717 6.51951164  9.99941269  4.77871693
11  1 5.31200004 1.61684464 0.99774254 1.27011601 -0.73797624 6.51859674 10.98996666  4.77818189
12  1 5.30496967 1.61708443 0.99774199 1.27020984 -0.73792484 6.51038013 11.92493483  4.77315670
13  1 5.26621604 1.62239141 0.99773002 1.27228480 -0.73678998 6.47183429 12.64472781  4.74504865
14  1 5.11255634 1.68811208 0.99758803 1.29770583 -0.72316451 6.38999581 12.76633706  4.62930984
15  1 4.62556434 2.23368058 0.99673190 1.49210613 -0.63356554 6.51039891 11.76044382  4.23955618
 0  2 3.79977417 5.07127179 0.99524964 2.24659329 -0.42783552 7.52790378  6.44140930  2.85982435
 1  2 5.11255634 1.68811208 0.99758803 1.29770583 -0.72316451 6.38999581  4.62930984  3.23366294
 2  2 5.59954834 1.14254358 0.99926178 1.06850369 -0.86787115 5.92673854  3.37318755  3.37318755
 3  2 5.75320804 1.07682291 0.99957786 1.03748173 -0.89203029 5.93754895  3.39461803  3.41398774
 4  2 5.79196167 1.07151593 0.99960507 1.03493611 -0.89407260 5.96497162  4.08332996  3.42377056
 5  2 5.79899204 1.07127614 0.99960631 1.03482095 -0.89416522 5.97164238  5.01113680  3.42551045
