 X  Y Z          g^2        k          sqrt_kgg    coef       t           zx          zy
 0  0 2.00000000 9.00000000 0.99604938 2.99406821 -0.32526684 5.10290643  3.31961248  3.31961248
 1  0 3.31278217 5.61684029 0.99634683 2.36565446 -0.40930268 6.96007461  3.23740627  5.69755439
 2  0 3.79977417 5.07127179 0.99643195 2.24792732 -0.43012103 7.64868812  2.87828703  6.57972326
 3  0 3.95343387 5.00555112 0.99644346 2.23332682 -0.43285147 7.91449518  3.25524205  6.85160172
 4  0 3.99218750 5.00024414 0.99644440 2.23214365 -0.43307425 7.98851437  4.05405656  6.91923975
 5  0 3.99921787 5.00000435 0.99644444 2.23209018 -0.43308433 8.00242107  5.00722841  6.93144626
 6  0 3.99996948 5.00000001 0.99644444 2.23208921 -0.43308451 8.00392214  6.00042314  6.93274935
 7  0 3.99999988 5.00000000 0.99644444 2.23208921 -0.43308451 8.00398295  7.00000331  6.93280203
 8  0 4.00000000 5.00000000 0.99644444 2.23208921 -0.43308451 8.00398319  8.00000000  6.93280224
 9  0 3.99999988 5.00000000 0.99644444 2.23208921 -0.43308451 8.00398295  8.99999669  6.93280203
10  0 3.99996948 5.00000001 0.99644444 2.23208921 -0.43308451 8.00392214  9.99957686  6.93274935
11  0 3.99921787 5.00000435 0.99644444 2.23209018 -0.43308433 8.00242107 10.99277159  6.93144626
12  0 3.99218750 5.00024414 0.99644440 2.23214365 -0.43307425 7.98851437 11.94594344  6.91923975
13  0 3.95343387 5.00555112 0.99644346 2.23332682 -0.43285147 7.91449518 12.74475795  6.85160172
14  0 3.79977417 5.07127179 0.99643195 2.24792732 -0.43012103 7.64868812 13.12171297  6.57972326
15  0 3.31278217 5.61684029 0.99634683 2.36565446 -0.40930268 6.96007461 12.76259373  5.69755439
 0  1 3.31278217 5.61684029 0.99634683 2.36565446 -0.40930268 6.96007461  5.69755439  3.23740627
 1  1 4.62556434 2.23368058 0.99754530 1.49271483 -0.63842976 6.56018688  4.28939253  4.28939253
 2  1 5.11255634 1.68811208 0.99818835 1.29809622 -0.72947144 6.42169528  3.25059540  4.67912341
 3  1 5.26621604 1.62239141 0.99829500 1.27264497 -0.74333376 6.50149786  3.36007038  4.79562806
 4  1 5.30496967 1.61708443 0.99830399 1.27056752 -0.74448856 6.54001787  4.07607763  4.82404795
 5  1 5.31200004 1.61684464 0.99830439 1.27047358 -0.74454087 6.54826271  5.01016865  4.82913785
 6  1 5.31275165 1.61684031 0.99830440 1.27047188 -0.74454181 6.54918161  6.00059523  4.82968005
 7  1 5.31278205 1.61684029 0.99830440 1.27047187 -0.74454182 6.54921906  7.00000465  4.82970196
 8  1 5.31278217 1.61684029 0.99830440 1.27047187 -0.74454182 6.54921920  8.00000000  4.82970205
 9  1 5.31278205 1.61684029 0.99830440 1.27047187 -0.74454182 6.54921906  8.99999535  4.82970196
10  1 5.31275165 1.61684031 0.99830440 1.27047188 -0.74454181 6.54918161  9.99940477  4.82968005
11  1 5.31200004 1.61684464 0.99830439 1.27047358 -0.74454087 6.54826271 10.98983135  4.82913785
12  1 5.30496967 1.61708443 0.99830399 1.27056752 -0.74448856 6.54001787 11.92392237  4.82404795
13  1 5.26621604 1.62239141 0.99829500 1.27264497 -0.74333376 6.50149786 12.63992962  4.79562806
14  1 5.11255634 1.68811208 0.99818835 1.29809622 -0.72947144 6.42169528 12.74940460  4.67912341
15  1 4.62556434 2.23368058 0.99754530 1.49271483 -0.63842976 6.56018688 11.71060747  4.28939253
 0  2 3.79977417 5.07127179 0.99643195 2.24792732 -0.43012103 7.64868812  6.57972326  2.87828703
 1  2 5.11255634 1.68811208 0.99818835 1.29809622 -0.72947144 6.42169528  4.67912341  3.25059540
 2  2 5.59954834 1.14254358 0.99944551 1.06860192 -0.87693394 5.93423561  3.38928231  3.38928231
 3  2 5.75320804 1.07682291 0.99968292 1.03753625 -0.90160562 5.94172540  3.39913453  3.43017119
 4  2 5.79196167 1.07151593 0.99970337 1.03498700 -0.90369196 5.96888772  4.08428181  3.44003373
 5  2 5.79899204 1.07127614 0.99970429 1.03487166 -0.90378658 5.97555017  5.01126400  3.44179204
 6  2 5.79974365 1.07127181 0.99970431 1.03486958 -0.90378829 5.97631413  6.00065934  3.44197910
 7  2 5.79977405 1.07127179 0.99970431 1.03486957 -0.90378829 5.97634542  7.00000515  3.44198666
 8  2 5.79977417 1.07127179 0.99970431 1.03486957 -0.90378829 5.97634554  8.00000000  3.44198669
 9  2 5.79977405 1.07127179 0.99970431 1.03486957 -0.90378829 5.97634542  8.99999485  3.44198666
10  2 5.79974365 1.07127181 0.99970431 1.03486958 -0.90378829 5.97631413  9.99934066  3.44197910
11  2 5.79899204 1.07127614 0.99970429 1.03487166 -0.90378658 5.97555017 10.98873600  3.44179204
12  2 5.79196167 1.07151593 0.99970337 1.03498700 -0.90369196 5.96888772 11.91571819  3.44003373
13  2 5.75320804 1.07682291 0.99968292 1.03753625 -0.90160562 5.94172540 12.60086547  3.43017119
14  2 5.59954834 1.14254358 0.99944551 1.06860192 -0.87693394 5.93423561 12.61071769  3.38928231
15  2 5.11255634 1.68811208 0.99818835 1.29809622 -0.72947144 6.42169528 11.32087659  3.25059540
 0  3 3.95343387 5.00555112 0.99644346 2.23332682 -0.43285147 7.91449518  6.85160172  3.25524205
 1  3 5.26621604 1.62239141 0.99829500 1.27264497 -0.74333376 6.50149786  4.79562806  3.36007038
 2  3 5.75320804 1.07682291 0.99968292 1.03753625 -0.90160562 5.94172540  3.43017119  3.39913453
 3  3 5.90686774 1.01110223 0.99995120 1.00551126 -0.92853577 5.93534291  3.41061477  3.41061477
 4  3 5.94562137 1.00579526 0.99997439 1.00288060 -0.93081960 5.96060476  4.08669137  3.41337667
 5  3 5.95265174 1.00555547 0.99997545 1.00276157 -0.93092320 5.96703311  5.01158567  3.41386854
