 X  Y Z          g^2        k          sqrt_kgg    coef       t           zx          zy
 0  0 2.00000000 9.00000000 0.98902606 2.98349368 -0.31915362 4.64830105  2.96704421  2.96704421
 1  0 3.31278217 5.61684029 0.98985230 2.35793178 -0.40001505 6.48133945  3.03623299  5.18526668
 2  0 3.79977417 5.07127179 0.99008876 2.24076085 -0.41994392 7.15514207  2.80217366  6.00951677
 3  0 3.95343387 5.00555112 0.99012072 2.22622997 -0.42255464 7.40807116  3.23322663  6.26062971
 4  0 3.99218750 5.00024414 0.99012334 2.22505245 -0.42276763 7.47770463  4.04939580  6.32266286
 5  0 3.99921787 5.00000435 0.99012345 2.22499923 -0.42277726 7.49073797  5.00660519  6.33382730
 6  0 3.99996948 5.00000001 0.99012346 2.22499827 -0.42277743 7.49214334  6.00038666  6.33501822
 7  0 3.99999988 5.00000000 0.99012346 2.22499827 -0.42277743 7.49220027  7.00000302  6.33506637
 8  0 4.00000000 5.00000000 0.99012346 2.22499827 -0.42277743 7.49220050  8.00000000  6.33506656
 9  0 3.99999988 5.00000000 0.99012346 2.22499827 -0.42277743 7.49220027  8.99999698  6.33506637
10  0 3.99996948 5.00000001 0.99012346 2.22499827 -0.42277743 7.49214334  9.99961334  6.33501822
11  0 3.99921787 5.00000435 0.99012345 2.22499923 -0.42277726 7.49073797 10.99339481  6.33382730
12  0 3.99218750 5.00024414 0.99012334 2.22505245 -0.42276763 7.47770463 11.95060420  6.32266286
13  0 3.95343387 5.00555112 0.99012072 2.22622997 -0.42255464 7.40807116 12.76677337  6.26062971
14  0 3.79977417 5.07127179 0.99008876 2.24076085 -0.41994392 7.15514207 13.19782634  6.00951677
15  0 3.31278217 5.61684029 0.98985230 2.35793178 -0.40001505 6.48133945 12.96376701  5.18526668
 0  1 3.31278217 5.61684029 0.98985230 2.35793178 -0.40001505 6.48133945  5.18526668  3.03623299
 1  1 4.62556434 2.23368058 0.99318138 1.48944619 -0.61706902 6.35222545  4.07854858  4.07854858
 2  1 5.11255634 1.68811208 0.99496763 1.29600034 -0.70190199 6.28840587  3.17835426  4.46659737
 3  1 5.26621604 1.62239141 0.99526388 1.27071144 -0.71474758 6.37665512  3.33957502  4.57957930
 4  1 5.30496967 1.61708443 0.99528885 1.26864735 -0.71581682 6.41527447  4.07175252  4.60664594
 5  1 5.31200004 1.61684464 0.99528998 1.26855401 -0.71586525 6.42340007  5.00959059  4.61145844
 6  1 5.31275165 1.61684031 0.99529000 1.26855232 -0.71586613 6.42430214  6.00056139  4.61197004
 7  1 5.31278205 1.61684029 0.99529000 1.26855232 -0.71586613 6.42433887  7.00000439  4.61199071
 8  1 5.31278217 1.61684029 0.99529000 1.26855232 -0.71586613 6.42433902  8.00000000  4.61199079
 9  1 5.31278205 1.61684029 0.99529000 1.26855232 -0.71586613 6.42433887  8.99999561  4.61199071
10  1 5.31275165 1.61684031 0.99529000 1.26855232 -0.71586613 6.42430214  9.99943861  4.61197004
11  1 5.31200004 1.61684464 0.99528998 1.26855401 -0.71586525 6.42340007 10.99040941  4.61145844
12  1 5.30496967 1.61708443 0.99528885 1.26864735 -0.71581682 6.41527447 11.92824748  4.60664594
13  1 5.26621604 1.62239141 0.99526388 1.27071144 -0.71474758 6.37665512 12.66042498  4.57957930
14  1 5.11255634 1.68811208 0.99496763 1.29600034 -0.70190199 6.28840587 12.82164574  4.46659737
15  1 4.62556434 2.23368058 0.99318138 1.48944619 -0.61706902 6.35222545 11.92145142  4.07854858
 0  2 3.79977417 5.07127179 0.99008876 2.24076085 -0.41994392 7.15514207  6.00951677  2.80217366
 1  2 5.11255634 1.68811208 0.99496763 1.29600034 -0.70190199 6.28840587  4.46659737  3.17835426
 2  2 5.59954834 1.14254358 0.99845975 1.06807480 -0.83757303 5.90243696  3.31981446  3.31981446
 3  2 5.75320804 1.07682291 0.99911923 1.03724369 -0.86006025 5.92398856  3.37960612  3.36019736
 4  2 5.79196167 1.07151593 0.99917602 1.03471398 -0.86195906 5.95225486  4.08016563  3.36970486
 5  2 5.79899204 1.07127614 0.99917859 1.03459953 -0.86204517 5.95895251  5.01071393  3.37138307
 6  2 5.79974365 1.07127181 0.99917864 1.03459746 -0.86204672 5.95971532  6.00062714  3.37156110
 7  2 5.79977405 1.07127179 0.99917864 1.03459745 -0.86204673 5.95974652  7.00000490  3.37156829
 8  2 5.79977417 1.07127179 0.99917864 1.03459745 -0.86204673 5.95974665  8.00000000  3.37156832
 9  2 5.79977405 1.07127179 0.99917864 1.03459745 -0.86204673 5.95974652  8.99999510  3.37156829
10  2 5.79974365 1.07127181 0.99917864 1.03459746 -0.86204672 5.95971532  9.99937286  3.37156110
11  2 5.79899204 1.07127614 0.99917859 1.03459953 -0.86204517 5.95895251 10.98928607  3.37138307
12  2 5.79196167 1.07151593 0.99917602 1.03471398 -0.86195906 5.95225486 11.91983437  3.36970486
