 X  Y Z          g^2        k          sqrt_kgg    coef       t           zx          zy
 0  0 2.00000000 9.00000000 0.90123457 2.84800125 -0.27940755 3.26402247  1.82398502  1.82398502
 1  0 3.31278217 5.61684029 0.90867067 2.25917198 -0.34286869 4.89910127  2.31926064  3.35949682
 2  0 3.79977417 5.07127179 0.91079880 2.14916455 -0.35806229 5.49580300  2.52534982  3.93567967
 3  0 3.95343387 5.00555112 0.91108647 2.13553035 -0.36003968 5.70174178  3.15294949  4.10570656
 4  0 3.99218750 5.00024414 0.91111003 2.13442558 -0.36020086 5.75629511  4.03239723  4.14684492
 5  0 3.99921787 5.00000435 0.91111109 2.13437565 -0.36020815 5.76637153  5.00433217  4.15418805
 6  0 3.99996948 5.00000001 0.91111111 2.13437475 -0.36020828 5.76745417  6.00025360  4.15496952
 7  0 3.99999988 5.00000000 0.91111111 2.13437475 -0.36020828 5.76749800  7.00000198  4.15500110
 8  0 4.00000000 5.00000000 0.91111111 2.13437475 -0.36020828 5.76749817  8.00000000  4.15500122
 9  0 3.99999988 5.00000000 0.91111111 2.13437475 -0.36020828 5.76749800  8.99999802  4.15500110
10  0 3.99996948 5.00000001 0.91111111 2.13437475 -0.36020828 5.76745417  9.99974640  4.15496952
11  0 3.99921787 5.00000435 0.91111109 2.13437565 -0.36020815 5.76637153 10.99566783  4.15418805
12  0 3.99218750 5.00024414 0.91111003 2.13442558 -0.36020086 5.75629511 11.96760277  4.14684492
13  0 3.95343387 5.00555112 0.91108647 2.13553035 -0.36003968 5.70174178 12.84705051  4.10570656
14  0 3.79977417 5.07127179 0.91079880 2.14916455 -0.35806229 5.49580300 13.47465018  3.93567967
15  0 3.31278217 5.61684029 0.90867067 2.25917198 -0.34286869 4.89910127 13.68073936  3.35949682
 0  1 3.31278217 5.61684029 0.90867067 2.25917198 -0.34286869 4.89910127  3.35949682  2.31926064
 1  1 4.62556434 2.23368058 0.93863240 1.44796580 -0.49901158 5.55726873  3.17800256  3.17800256
 2  1 5.11255634 1.68811208 0.95470864 1.26950982 -0.55457010 5.75800942  2.85248680  3.50792872
 3  1 5.26621604 1.62239141 0.95737490 1.24628921 -0.56272234 5.87710811  3.24640411  3.59743208
 4  1 5.30496967 1.61708443 0.95759966 1.24439523 -0.56339785 5.91589736  4.05207819  3.61771394
 5  1 5.31200004 1.61684464 0.95760985 1.24430959 -0.56342844 5.92353532  5.00696095  3.62123594
 6  1 5.31275165 1.61684031 0.95761003 1.24430804 -0.56342899 5.92436981  6.00040747  3.62160778
 7  1 5.31278205 1.61684029 0.95761003 1.24430803 -0.56342899 5.92440370  7.00000318  3.62162279
 8  1 5.31278217 1.61684029 0.95761003 1.24430803 -0.56342899 5.92440383  8.00000000  3.62162285
 9  1 5.31278205 1.61684029 0.95761003 1.24430803 -0.56342899 5.92440370  8.99999682  3.62162279
10  1 5.31275165 1.61684031 0.95761003 1.24430804 -0.56342899 5.92436981  9.99959253  3.62160778
11  1 5.31200004 1.61684464 0.95760985 1.24430959 -0.56342844 5.92353532 10.99303905  3.62123594
12  1 5.30496967 1.61708443 0.95759966 1.24439523 -0.56339785 5.91589736 11.94792181  3.61771394
13  1 5.26621604 1.62239141 0.95737490 1.24628921 -0.56272234 5.87710811 12.75359589  3.59743208
14  1 5.11255634 1.68811208 0.95470864 1.26950982 -0.55457010 5.75800942 13.14751320  3.50792872
15  1 4.62556434 2.23368058 0.93863240 1.44796580 -0.49901158 5.55726873 12.82199744  3.17800256
 0  2 3.79977417 5.07127179 0.91079880 2.14916455 -0.35806229 5.49580300  3.93567967  2.52534982
 1  2 5.11255634 1.68811208 0.95470864 1.26950982 -0.55457010 5.75800942  3.50792872  2.85248680
 2  2 5.59954834 1.14254358 0.98613779 1.06146380 -0.63728901 5.76902888  2.98151735  2.98151735
 3  2 5.75320804 1.07682291 0.99207309 1.03357972 -0.65028927 5.84899942  3.28338593  3.01542302
 4  2 5.79196167 1.07151593 0.99258414 1.03129517 -0.65137793 5.88188830  4.05986457  3.02284224
 5  2 5.79899204 1.07127614 0.99260735 1.03119182 -0.65142726 5.88873280  5.00800086  3.02411003
 6  2 5.79974365 1.07127181 0.99260777 1.03118995 -0.65142816 5.88949071  6.00046833  3.02424324
 7  2 5.79977405 1.07127179 0.99260777 1.03118995 -0.65142816 5.88952156  7.00000366  3.02424861
 8  2 5.79977417 1.07127179 0.99260777 1.03118995 -0.65142816 5.88952169  8.00000000  3.02424863
 9  2 5.79977405 1.07127179 0.99260777 1.03118995 -0.65142816 5.88952156  8.99999634  3.02424861
10  2 5.79974365 1.07127181 0.99260777 1.03118995 -0.65142816 5.88949071  9.99953167  3.02424324
11  2 5.79899204 1.07127614 0.99260735 1.03119182 -0.65142726 5.88873280 10.99199914  3.02411003
12  2 5.79196167 1.07151593 0.99258414 1.03129517 -0.65137793 5.88188830 11.94013543  3.02284224
13  2 5.75320804 1.07682291 0.99207309 1.03357972 -0.65028927 5.84899942 12.71661407  3.01542302
14  2 5.59954834 1.14254358 0.98613779 1.06146380 -0.63728901 5.76902888 13.01848265  2.98151735
15  2 5.11255634 1.68811208 0.95470864 1.26950982 -0.55457010 5.75800942 12.49207128  2.85248680
 0  3 3.95343387 5.00555112 0.91108647 2.13553035 -0.36003968 5.70174178  4.10570656  3.15294949
 1  3 5.26621604 1.62239141 0.95737490 1.24628921 -0.56272234 5.87710811  3.59743208  3.24640411
 2  3 5.75320804 1.07682291 0.99207309 1.03357972 -0.65028927 5.84899942  3.01542302  3.28338593
 3  3 5.90686774 1.01110223 0.99877996 1.00492221 -0.66421461 5.92138730  3.29303670  3.29303670
 4  3 5.94562137 1.00579526 0.99935979 1.00257236 -0.66538296 5.95326360  4.06189375  3.29513241
 5  3 5.95265174 1.00555547 0.99938614 1.00246605 -0.66543592 5.95998700  5.00827181  3.29548924
 6  3 5.95340335 1.00555113 0.99938661 1.00246413 -0.66543687 5.96073383  6.00048419  3.29552669
 7  3 5.95343375 1.00555112 0.99938661 1.00246413 -0.66543688 5.96076424  7.00000378  3.29552820
 8  3 5.95343387 1.00555112 0.99938661 1.00246413 -0.66543688 5.96076436  8.00000000  3.29552820
 9  3 5.95343375 1.00555112 0.99938661 1.00246413 -0.66543688 5.96076424  8.99999622  3.29552820
10  3 5.95340335 1.00555113 0.99938661 1.00246413 -0.66543687 5.96073383  9.99951581  3.29552669
11  3 5.95265174 1.00555547 0.99938614 1.00246605 -0.66543592 5.95998700 10.99172819  3.29548924
12  3 5.94562137 1.00579526 0.99935979 1.00257236 -0.66538296 5.95326360 11.93810625  3.29513241
13  3 5.90686774 1.01110223 0.99877996 1.00492221 -0.66421461 5.92138730 12.70696330  3.29303670
14  3 5.75320804 1.07682291 0.99207309 1.03357972 -0.65028927 5.84899942 12.98457698  3.28338593
15  3 5.26621604 1.62239141 0.95737490 1.24628921 -0.56272234 5.87710811 12.40256792  3.24640411
 0  4 3.99218750 5.00024414 0.91111003 2.13442558 -0.36020086 5.75629511  4.14684492  4.03239723
