 X  Y Z          g^2        k          sqrt_kgg    coef       t           zx          zy
 0  0 2.00000000 9.00000000 0.99546485 2.99318955 -0.32464011 5.04962927  3.27862439  3.27862439
 1  0 3.31278217 5.61684029 0.99580631 2.36501268 -0.40834063 6.90494961  3.21446834  5.63914296
 2  0 3.79977417 5.07127179 0.99590403 2.24733175 -0.42906460 7.59206004  2.86964330  6.51496833
 3  0 3.95343387 5.00555112 0.99591724 2.23273703 -0.43178232 7.85641560  3.25274316  6.78452266
 4  0 3.99218750 5.00024414 0.99591832 2.23155433 -0.43200406 7.92993395  4.05352756  6.85152729
 5  0 3.99921787 5.00000435 0.99591837 2.23150088 -0.43201409 7.94374059  5.00715767  6.86361565
 6  0 3.99996948 5.00000001 0.99591837 2.23149991 -0.43201427 7.94523068  6.00041900  6.86490601
 7  0 3.99999988 5.00000000 0.99591837 2.23149991 -0.43201427 7.94529105  7.00000327  6.86495818
 8  0 4.00000000 5.00000000 0.99591837 2.23149991 -0.43201427 7.94529129  8.00000000  6.86495839
 9  0 3.99999988 5.00000000 0.99591837 2.23149991 -0.43201427 7.94529105  8.99999673  6.86495818
10  0 3.99996948 5.00000001 0.99591837 2.23149991 -0.43201427 7.94523068  9.99958100  6.86490601
11  0 3.99921787 5.00000435 0.99591837 2.23150088 -0.43201409 7.94374059 10.99284233  6.86361565
12  0 3.99218750 5.00024414 0.99591832 2.23155433 -0.43200406 7.92993395 11.94647244  6.85152729
13  0 3.95343387 5.00555112 0.99591724 2.23273703 -0.43178232 7.85641560 12.74725684  6.78452266
14  0 3.79977417 5.07127179 0.99590403 2.24733175 -0.42906460 7.59206004 13.13035670  6.51496833
15  0 3.31278217 5.61684029 0.99580631 2.36501268 -0.40834063 6.90494961 12.78553166  5.63914296
 0  1 3.31278217 5.61684029 0.99580631 2.36501268 -0.40834063 6.90494961  5.63914296  3.21446834
 1  1 4.62556434 2.23368058 0.99718210 1.49244306 -0.63617623 6.53693182  4.26616229  4.26616229
 2  1 5.11255634 1.68811208 0.99792029 1.29792192 -0.72654734 6.40690559  3.24271369  4.65593621
 3  1 5.26621604 1.62239141 0.99804272 1.27248416 -0.74029953 6.48766016  3.35783736  4.77208900
 4  1 5.30496967 1.61708443 0.99805305 1.27040783 -0.74144505 6.52619239  4.07560645  4.80036414
 5  1 5.31200004 1.61684464 0.99805351 1.27031393 -0.74149694 6.53442407  5.01010568  4.80542394
 6  1 5.31275165 1.61684031 0.99805352 1.27031223 -0.74149788 6.53534111  6.00059155  4.80596281
 7  1 5.31278205 1.61684029 0.99805352 1.27031222 -0.74149788 6.53537847  7.00000462  4.80598459
 8  1 5.31278217 1.61684029 0.99805352 1.27031222 -0.74149788 6.53537862  8.00000000  4.80598467
 9  1 5.31278205 1.61684029 0.99805352 1.27031222 -0.74149788 6.53537847  8.99999538  4.80598459
10  1 5.31275165 1.61684031 0.99805352 1.27031223 -0.74149788 6.53534111  9.99940845  4.80596281
11  1 5.31200004 1.61684464 0.99805351 1.27031393 -0.74149694 6.53442407 10.98989432  4.80542394
12  1 5.30496967 1.61708443 0.99805305 1.27040783 -0.74144505 6.52619239 11.92439355  4.80036414
13  1 5.26621604 1.62239141 0.99804272 1.27248416 -0.74029953 6.48766016 12.64216264  4.77208900
14  1 5.11255634 1.68811208 0.99792029 1.29792192 -0.72654734 6.40690559 12.75728631  4.65593621
15  1 4.62556434 2.23368058 0.99718210 1.49244306 -0.63617623 6.53693182 11.73383771  4.26616229
 0  2 3.79977417 5.07127179 0.99590403 2.24733175 -0.42906460 7.59206004  6.51496833  2.86964330
 1  2 5.11255634 1.68811208 0.99792029 1.29792192 -0.72654734 6.40690559  4.65593621  3.24271369
 2  2 5.59954834 1.14254358 0.99936347 1.06855806 -0.87272774 5.93074287  3.38180487  3.38180487
 3  2 5.75320804 1.07682291 0.99963601 1.03751191 -0.89716083 5.93978009  3.39703682  3.42265472
 4  2 5.79196167 1.07151593 0.99965948 1.03496428 -0.89922667 5.96706370  4.08383973  3.43248042
 5  2 5.79899204 1.07127614 0.99966054 1.03484902 -0.89932036 5.97373002  5.01120492  3.43423018
 6  2 5.79974365 1.07127181 0.99966056 1.03484693 -0.89932205 5.97449386  6.00065588  3.43441627
 7  2 5.79977405 1.07127179 0.99966056 1.03484693 -0.89932206 5.97452514  7.00000512  3.43442379
 8  2 5.79977417 1.07127179 0.99966056 1.03484693 -0.89932206 5.97452526  8.00000000  3.43442382
 9  2 5.79977405 1.07127179 0.99966056 1.03484693 -0.89932206 5.97452514  8.99999488  3.43442379
10  2 5.79974365 1.07127181 0.99966056 1.03484693 -0.89932205 5.97449386  9.99934412  3.43441627
11  2 5.79899204 1.07127614 0.99966054 1.03484902 -0.89932036 5.97373002 10.98879508  3.43423018
12  2 5.79196167 1.07151593 0.99965948 1.03496428 -0.89922667 5.96706370 11.91616027  3.43248042
13  2 5.75320804 1.07682291 0.99963601 1.03751191 -0.89716083 5.93978009 12.60296318  3.42265472
14  2 5.59954834 1.14254358 0.99936347 1.06855806 -0.87272774 5.93074287 12.61819513  3.38180487
15  2 5.11255634 1.68811208 0.99792029 1.29792192 -0.72654734 6.40690559 11.34406379  3.24271369
 0  3 3.95343387 5.00555112 0.99591724 2.23273703 -0.43178232 7.85641560  6.78452266  3.25274316
 1  3 5.26621604 1.62239141 0.99804272 1.27248416 -0.74029953 6.48766016  4.77208900  3.35783736
 2  3 5.75320804 1.07682291 0.99963601 1.03751191 -0.89716083 5.93978009  3.42265472  3.39703682
 3  3 5.90686774 1.01110223 0.99994398 1.00550763 -0.92382256 5.93505250  3.40851052  3.40851052
 4  3 5.94562137 1.00579526 0.99997060 1.00287870 -0.92608324 5.96045210  4.08624804  3.41126272
 5  3 5.95265174 1.00555547 0.99997181 1.00275975 -0.92618579 5.96688659  5.01152643  3.41175228
 6  3 5.95340335 1.00555113 0.99997183 1.00275760 -0.92618764 5.96762891  6.00067470  3.41180433
 7  3 5.95343375 1.00555112 0.99997183 1.00275759 -0.92618765 5.96765934  7.00000527  3.41180643
 8  3 5.95343387 1.00555112 0.99997183 1.00275759 -0.92618765 5.96765946  8.00000000  3.41180644
 9  3 5.95343375 1.00555112 0.99997183 1.00275759 -0.92618765 5.96765934  8.99999473  3.41180643
10  3 5.95340335 1.00555113 0.99997183 1.00275760 -0.92618764 5.96762891  9.99932530  3.41180433
