 X  Y Z          g^2        k          sqrt_kgg    coef       t           zx          zy
 0  0 2.00000000 9.00000000 0.99111111 2.98663690 -0.32073743 4.75355849  3.04928830  3.04928830
 1  0 3.31278217 5.61684029 0.99178036 2.36022708 -0.40240188 6.59388890  3.08395334  5.30678656
 2  0 3.79977417 5.07127179 0.99197189 2.24289079 -0.42255491 7.27153092  2.82029081  6.14524216
 3  0 3.95343387 5.00555112 0.99199778 2.22833920 -0.42519578 7.52754312  3.23846921  6.40135912
 4  0 3.99218750 5.00024414 0.99199990 2.22716001 -0.42541123 7.59821503  4.05050572  6.46473199
 5  0 3.99921787 5.00000435 0.99200000 2.22710671 -0.42542097 7.61145458  5.00675360  6.47614482
 6  0 3.99996948 5.00000001 0.99200000 2.22710575 -0.42542115 7.61288253  6.00039535  6.47736246
 7  0 3.99999988 5.00000000 0.99200000 2.22710575 -0.42542115 7.61294038  7.00000309  6.47741169
 8  0 4.00000000 5.00000000 0.99200000 2.22710575 -0.42542115 7.61294060  8.00000000  6.47741188
 9  0 3.99999988 5.00000000 0.99200000 2.22710575 -0.42542115 7.61294038  8.99999691  6.47741169
10  0 3.99996948 5.00000001 0.99200000 2.22710575 -0.42542115 7.61288253  9.99960465  6.47736246
11  0 3.99921787 5.00000435 0.99200000 2.22710671 -0.42542097 7.61145458 10.99324640  6.47614482
12  0 3.99218750 5.00024414 0.99199990 2.22716001 -0.42541123 7.59821503 11.94949428  6.46473199
13  0 3.95343387 5.00555112 0.99199778 2.22833920 -0.42519578 7.52754312 12.76153079  6.40135912
14  0 3.79977417 5.07127179 0.99197189 2.24289079 -0.42255491 7.27153092 13.17970919  6.14524216
15  0 3.31278217 5.61684029 0.99178036 2.36022708 -0.40240188 6.59388890 12.91604666  5.30678656
 0  1 3.31278217 5.61684029 0.99178036 2.36022708 -0.40240188 6.59388890  5.30678656  3.08395334
 1  1 4.62556434 2.23368058 0.99447692 1.49041732 -0.62247813 6.40235895  4.13004431  4.13004431
 2  1 5.11255634 1.68811208 0.99592378 1.29662291 -0.70885276 6.32075033  3.19614412  4.51893331
 3  1 5.26621604 1.62239141 0.99616374 1.27128576 -0.72195018 6.40697719  3.34462797  4.63284419
 4  1 5.30496967 1.61708443 0.99618397 1.26921771 -0.72304061 6.44557466  4.07281894  4.66024956
 5  1 5.31200004 1.61684464 0.99618489 1.26912418 -0.72309000 6.45372932  5.00973312  4.66513070
 6  1 5.31275165 1.61684031 0.99618490 1.26912249 -0.72309089 6.45463548  6.00056974  4.66564984
 7  1 5.31278205 1.61684029 0.99618490 1.26912249 -0.72309089 6.45467239  7.00000445  4.66567082
 8  1 5.31278217 1.61684029 0.99618490 1.26912249 -0.72309089 6.45467253  8.00000000  4.66567090
 9  1 5.31278205 1.61684029 0.99618490 1.26912249 -0.72309089 6.45467239  8.99999555  4.66567082
10  1 5.31275165 1.61684031 0.99618490 1.26912249 -0.72309089 6.45463548  9.99943026  4.66564984
11  1 5.31200004 1.61684464 0.99618489 1.26912418 -0.72309000 6.45372932 10.99026688  4.66513070
12  1 5.30496967 1.61708443 0.99618397 1.26921771 -0.72304061 6.44557466 11.92718106  4.66024956
13  1 5.26621604 1.62239141 0.99616374 1.27128576 -0.72195018 6.40697719 12.65537203  4.63284419
14  1 5.11255634 1.68811208 0.99592378 1.29662291 -0.70885276 6.32075033 12.80385588  4.51893331
15  1 4.62556434 2.23368058 0.99447692 1.49041732 -0.62247813 6.40235895 11.86995569  4.13004431
 0  2 3.79977417 5.07127179 0.99197189 2.24289079 -0.42255491 7.27153092  6.14524216  2.82029081
 1  2 5.11255634 1.68811208 0.99592378 1.29662291 -0.70885276 6.32075033  4.51893331  3.19614412
 2  2 5.59954834 1.14254358 0.99875240 1.06823132 -0.84743491 5.91021957  3.33711514  3.33711514
 3  2 5.75320804 1.07682291 0.99928658 1.03733055 -0.87045934 5.92833499  3.38447786  3.37765370
 4  2 5.79196167 1.07151593 0.99933257 1.03479504 -0.87240424 5.95633118  4.08119263  3.38725226
 5  2 5.79899204 1.07127614 0.99933466 1.03468033 -0.87249243 5.96302022  5.01085118  3.38895057
 6  2 5.79974365 1.07127181 0.99933470 1.03467825 -0.87249403 5.96378331  6.00063518  3.38913085
 7  2 5.79977405 1.07127179 0.99933470 1.03467825 -0.87249403 5.96381453  7.00000496  3.38913814
 8  2 5.79977417 1.07127179 0.99933470 1.03467825 -0.87249403 5.96381466  8.00000000  3.38913816
 9  2 5.79977405 1.07127179 0.99933470 1.03467825 -0.87249403 5.96381453  8.99999504  3.38913814
10  2 5.79974365 1.07127181 0.99933470 1.03467825 -0.87249403 5.96378331  9.99936482  3.38913085
11  2 5.79899204 1.07127614 0.99933466 1.03468033 -0.87249243 5.96302022 10.98914882  3.38895057
12  2 5.79196167 1.07151593 0.99933257 1.03479504 -0.87240424 5.95633118 11.91880737  3.38725226
13  2 5.75320804 1.07682291 0.99928658 1.03733055 -0.87045934 5.92833499 12.61552214  3.37765370
14  2 5.59954834 1.14254358 0.99875240 1.06823132 -0.84743491 5.91021957 12.66288486  3.33711514
15  2 5.11255634 1.68811208 0.99592378 1.29662291 -0.70885276 6.32075033 11.48106669  3.19614412
 0  3 3.95343387 5.00555112 0.99199778 2.22833920 -0.42519578 7.52754312  6.40135912  3.23846921
 1  3 5.26621604 1.62239141 0.99616374 1.27128576 -0.72195018 6.40697719  4.63284419  3.34462797
 2  3 5.75320804 1.07682291 0.99928658 1.03733055 -0.87045934 5.92833499  3.37765370  3.38447786
 3  3 5.90686774 1.01110223 0.99989020 1.00548059 -0.89553812 5.93334163  3.39588910  3.39588910
 4  3 5.94562137 1.00579526 0.99994238 1.00286455 -0.89766237 5.95955263  4.08358853  3.39858119
 5  3 5.95265174 1.00555547 0.99994475 1.00274618 -0.89775872 5.96602328  5.01117104  3.39905678
