 X  Y Z          g^2        k          sqrt_kgg    coef       t           zx          zy
 0  0 2.00000000 9.00000000 0.99265381 2.98896040 -0.32200570 4.84361432  3.11934285  3.11934285
 1  0 3.31278217 5.61684029 0.99320691 2.36192392 -0.40432249 6.68935974  3.12421667  5.40931711
 2  0 3.79977417 5.07127179 0.99336520 2.24446540 -0.42465803 7.37008624  2.83554675  6.25953266
 3  0 3.95343387 5.00555112 0.99338660 2.22989851 -0.42732346 7.62868689  3.24288273  6.51983376
 4  0 3.99218750 5.00024414 0.99338835 2.22871808 -0.42754092 7.70023610  4.05144009  6.58433207
 5  0 3.99921787 5.00000435 0.99338843 2.22866473 -0.42755076 7.71365015  5.00687854  6.59595389
 6  0 3.99996948 5.00000001 0.99338843 2.22866376 -0.42755093 7.71509721  6.00040266  6.59719402
 7  0 3.99999988 5.00000000 0.99338843 2.22866376 -0.42755093 7.71515583  7.00000315  6.59724416
 8  0 4.00000000 5.00000000 0.99338843 2.22866376 -0.42755093 7.71515606  8.00000000  6.59724435
 9  0 3.99999988 5.00000000 0.99338843 2.22866376 -0.42755093 7.71515583  8.99999685  6.59724416
10  0 3.99996948 5.00000001 0.99338843 2.22866376 -0.42755093 7.71509721  9.99959734  6.59719402
11  0 3.99921787 5.00000435 0.99338843 2.22866473 -0.42755076 7.71365015 10.99312146  6.59595389
12  0 3.99218750 5.00024414 0.99338835 2.22871808 -0.42754092 7.70023610 11.94855991  6.58433207
13  0 3.95343387 5.00555112 0.99338660 2.22989851 -0.42732346 7.62868689 12.75711727  6.51983376
14  0 3.79977417 5.07127179 0.99336520 2.24446540 -0.42465803 7.37008624 13.16445325  6.25953266
15  0 3.31278217 5.61684029 0.99320691 2.36192392 -0.40432249 6.68935974 12.87578333  5.40931711
 0  1 3.31278217 5.61684029 0.99320691 2.36192392 -0.40432249 6.68935974  5.40931711  3.12421667
 1  1 4.62556434 2.23368058 0.99543547 1.49113543 -0.62686955 6.44427693  4.17276376  4.17276376
 2  1 5.11255634 1.68811208 0.99663122 1.29708335 -0.71451076 6.34769096  3.21083061  4.56213946
 3  1 5.26621604 1.62239141 0.99682954 1.27171053 -0.72781539 6.43222004  3.34879660  4.67678721
 4  1 5.30496967 1.61708443 0.99684626 1.26963954 -0.72892326 6.47079820  4.07369868  4.70446954
 5  1 5.31200004 1.61684464 0.99684701 1.26954588 -0.72897344 6.47897700  5.00985070  4.70940718
 6  1 5.31275165 1.61684031 0.99684703 1.26954419 -0.72897434 6.47988657  6.00057662  4.70993255
