 X  Y Z          g^2        k          sqrt_kgg    coef       t           zx          zy
 0  0 2.00000000 9.00000000 0.99382716 2.99072641 -0.32304367 4.92153827  3.17974362  3.17974362
 1  0 3.31278217 5.61684029 0.99429192 2.36321368 -0.40590087 6.77136260  3.15865092  5.49700390
 2  0 3.79977417 5.07127179 0.99442492 2.24566228 -0.42638790 7.45461224  2.84857215  6.35711297
 3  0 3.95343387 5.00555112 0.99444290 2.23108377 -0.42907372 7.71541658  3.24665017  6.62096498
 4  0 3.99218750 5.00024414 0.99444438 2.22990239 -0.42929285 7.78771673  4.05223767  6.68642221
 5  0 3.99921787 5.00000435 0.99444444 2.22984900 -0.42930276 7.80128034  5.00698519  6.69822235
 6  0 3.99996948 5.00000001 0.99444444 2.22984803 -0.42930294 7.80274379  6.00040890  6.69948167
 7  0 3.99999988 5.00000000 0.99444444 2.22984803 -0.42930294 7.80280308  7.00000319  6.69953258
 8  0 4.00000000 5.00000000 0.99444444 2.22984803 -0.42930294 7.80280331  8.00000000  6.69953278
 9  0 3.99999988 5.00000000 0.99444444 2.22984803 -0.42930294 7.80280308  8.99999681  6.69953258
10  0 3.99996948 5.00000001 0.99444444 2.22984803 -0.42930294 7.80274379  9.99959110  6.69948167
11  0 3.99921787 5.00000435 0.99444444 2.22984900 -0.42930276 7.80128034 10.99301481  6.69822235
12  0 3.99218750 5.00024414 0.99444438 2.22990239 -0.42929285 7.78771673 11.94776233  6.68642221
13  0 3.95343387 5.00555112 0.99444290 2.23108377 -0.42907372 7.71541658 12.75334983  6.62096498
14  0 3.79977417 5.07127179 0.99442492 2.24566228 -0.42638790 7.45461224 13.15142785  6.35711297
15  0 3.31278217 5.61684029 0.99429192 2.36321368 -0.40590087 6.77136260 12.84134908  5.49700390
 0  1 3.31278217 5.61684029 0.99429192 2.36321368 -0.40590087 6.77136260  5.49700390  3.15865092
 1  1 4.62556434 2.23368058 0.99616452 1.49168139 -0.63050557 6.47984343  4.20877901  4.20877901
 2  1 5.11255634 1.68811208 0.99716929 1.29743344 -0.71920586 6.37047558  3.22316181  4.59841659
 3  1 5.26621604 1.62239141 0.99733593 1.27203351 -0.73268397 6.45355929  3.35229470  4.71366188
 4  1 5.30496967 1.61708443 0.99734998 1.26996028 -0.73380643 6.49212034  4.07443687  4.74157487
 5  1 5.31200004 1.61684464 0.99735062 1.26986653 -0.73385727 6.50031953  5.00994936  4.74655983
 6  1 5.31275165 1.61684031 0.99735063 1.26986483 -0.73385819 6.50123197  6.00058240  4.74709043
 7  1 5.31278205 1.61684029 0.99735063 1.26986483 -0.73385819 6.50126914  7.00000455  4.74711187
 8  1 5.31278217 1.61684029 0.99735063 1.26986483 -0.73385819 6.50126929  8.00000000  4.74711195
 9  1 5.31278205 1.61684029 0.99735063 1.26986483 -0.73385819 6.50126914  8.99999545  4.74711187
10  1 5.31275165 1.61684031 0.99735063 1.26986483 -0.73385819 6.50123197  9.99941760  4.74709043
11  1 5.31200004 1.61684464 0.99735062 1.26986653 -0.73385727 6.50031953 10.99005064  4.74655983
12  1 5.30496967 1.61708443 0.99734998 1.26996028 -0.73380643 6.49212034 11.92556313  4.74157487
13  1 5.26621604 1.62239141 0.99733593 1.27203351 -0.73268397 6.45355929 12.64770530  4.71366188
14  1 5.11255634 1.68811208 0.99716929 1.29743344 -0.71920586 6.37047558 12.77683819  4.59841659
15  1 4.62556434 2.23368058 0.99616452 1.49168139 -0.63050557 6.47984343 11.79122099  4.20877901
 0  2 3.79977417 5.07127179 0.99442492 2.24566228 -0.42638790 7.45461224  6.35711297  2.84857215
 1  2 5.11255634 1.68811208 0.99716929 1.29743344 -0.71920586 6.37047558  4.59841659  3.22316181
 2  2 5.59954834 1.14254358 0.99913361 1.06843516 -0.86220066 5.92210158  3.36314810  3.36314810
 3  2 5.75320804 1.07682291 0.99950457 1.03744369 -0.88604203 5.93496414  3.39179829  3.40388413
